query	doc_id	label	similiarity
The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German	[166]	[1]	[0.5348514318466187]
The ranking of the sentences in a general-domain corpus according to in-domain perplexity has also been applied to machine translation by both Yasuda et al (2008), and Foster et al (2010)	[0]	[1]	[0.5360555052757263]
The resulting algorithm is projective, and nonprojectivity is handled by pseudo-projective transformations as described in (Nivre and Nilsson, 2005)	[0]	[1]	[0.7180440425872803]
The results of last year's workshop further suggested that Bleu systematically underestimated the quality of rule-based machine translation systems (Koehn and Monz, 2006)	[90]	[1]	[0.31646737456321716]
The semantic annotation required by our task is much simpler than that employed by (Miller et al, 2000)	[108]	[1]	[0.5830956697463989]
The specific graph-based model studied in this work is that presented by McDonald et al (2006), which factors scores over pairs of arcs (instead of just single arcs) and uses near exhaustive search for unlabeled parsing coupled with a separate classifier to label each arc. We call this system MSTParser, or simply MST for short, which is also the name of the freely available implementation.	[20, 21]	[1, 1]	[0.3560344874858856, 0.5783609747886658]
The three data sets in use in this paper are summarised in Table 1.The translation systems consisted of phrase tables and lexicalised reordering tables estimated using the standard Moses (Koehn et al, 2007) training pipeline, and 5-gram Kneser-Ney smoothed language models estimated using the SRILM toolkit (Stolcke, 2002), with KenLM (Heafield, 2011) used at runtime	[12]	[1]	[0.5057212710380554]
There are many (structural) mildly context sensitive grammar formalisms ,e.g .mcfg ,lcfrs, mg, and they have been shown to be equivalent (Vijay-Shanker et al., 1987)	[62]	[1]	[0.6771915555000305]
These approaches build a dictionary by transferring labeled data from a resource rich language (English) to a resource poor language (Das and Petrov, 2011)	[10, 1]	[1, 1]	[0.5668477416038513, 0.4411642253398895]
They are in particular more powerful than linear context-free rewriting systems (LCFRS) (Vijay-Shanker et al, 1987)	[92]	[1]	[0.49251487851142883]
This approach is commonly used as a baseline for word sense disambiguation (McCarthy et al, 2004)	[8]	[1]	[0.4367661774158478]
This approach roughly corresponds to (Henderson and Brill, 1999)'s Naive Bayes parse hybridization	[16]	[1]	[0.7064328193664551]
This observation is in line with empirical studies in the context of dependency parsing, where the need for formalisms with higher fan-out has been observed even in standard, single language texts (Kuhlmann and Nivre, 2006). In this paper, we present an algorithm that computes optimal decompositions of rules in the formalism of Linear Context-Free Rewriting Systems (LCFRS) (Vijay-Shanker et al, 1987)	[92, 207]	[1, 1]	[0.33222782611846924, 0.3690215051174164]
This result is only slightly higher than the highest reported result for this test-set, Bod's (.907) (Bod,2003)	[133, 38, 87, 43, 140]	[1, 1, 1, 1, 1]	[0.6331344246864319, 0.4502284824848175, 0.4788043200969696, 0.6983674168586731, 0.43525031208992004]
Thus given a fragment tf consisting of a sequence of target tokens, we compute LM scores for (i) < s& gt ;tf, (ii )tf and (iii )tf < /s& gt; and use the best score (only) for pruning. While this increases the number of LM queries, we exploit the language model state in formation in KenLM (Heafield, 2011) to optimize the queries by saving the scores for the unchanged states	[0]	[1]	[0.6526286005973816]
To handle syntax-semantics mismatch, GUSP introduces a novel dependency-based meaning representation. Clarke et al (2010) and Liang et al (2011) used the annotated logical forms to compute answers for their experiments	[9, 0]	[1, 1]	[0.681694507598877, 0.41878488659858704]
To simplify implementation, we instead opted for the pseudo-projective approach (Nivre and Nilsson, 2005), in which non projective links are lifted upwards in the tree to achieve projectivity, and special trace labels are used to enable recovery of the non projective links at parse time	[0]	[1]	[0.7028554677963257]
Voting has proven to be an effective technique for improving classifier accuracy for many applications, including part-of-speech tagging (van Halteren, et al 1998), parsing (Henderson and Brill, 1999), and word sense disambiguation (Pederson, 2000)	[9]	[1]	[0.7225595712661743]
WASP (Wong and Mooney, 2007), UBL (Kwiatkowski et al, 2010) systems and DCS (Liang et al, 2011)	[140]	[1]	[0.4701715111732483]
We adopt the pseudo-projective approach introduced in (Nivre and Nilsson, 2005) to handle the non-projective languages including Czech, German and English	[0]	[1]	[0.7116436958312988]
We also manually evaluated the RBMT systems and SMT systems in terms of both adequacy and fluency as defined in (Koehn and Monz, 2006)	[123, 130]	[1, 1]	[0.6592956185340881, 0.5969472527503967]
We also use a standard statistical parser (Charniak, 2000) to provide syntactic analysis	[91, 88, 30]	[1, 1, 1]	[0.4606392979621887, 0.41802501678466797, 0.33080556988716125]
We analyze some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006)	[140, 39]	[1, 1]	[0.7284455895423889, 0.753485381603241]
We approximated the most probable parse as follows (following (Bod, 2003))	[70]	[1]	[0.6792929768562317]
We are further focusing on the shared task of the workshop on Statistical Machine Translation, which took place last year (Koehn and Monz, 2006) and consisted in translating Spanish, German, and French texts from and to English	[6, 8]	[1, 1]	[0.5871015191078186, 0.36724045872688293]
We have proposed a method for unsupervised POS tagging that performs on par with the current state of-the-art (Das and Petrov, 2011), but is substantially less-sophisticated (specifically not requiring convex optimization or a feature-based HMM)	[0]	[1]	[0.7238516211509705]
We modified the Roark (2001) parser to calculate the discussed measures, and the empirical results in ?4 show several things, including: 1) using a fully lexicalized parser to calculate syntactic surprisal and entropy provides higher predictive utility for reading times than these measures calculated via unlexicalized parsing (as in Demberg and Keller); and 2) syntactic entropy is a useful predictor of reading time	[329]	[1]	[0.38664481043815613]
We present a comparative study on the behavior of several metric representatives from each linguistic level in the context of some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006) (see Section 3)	[39, 140]	[1, 1]	[0.7522010207176208, 0.65935218334198]
We projectivize training data by a minimal transformation, lifting non-projective arcs one step at a time, and extending the arc label of lifted arcs using the encoding scheme called HEAD by Nivre and Nilsson (2005), which means that a lifted arc is assigned the label r? h, where r is the original label and h is the label of the original head in the non-projective dependency graph	[49, 37, 51, 50, 36, 41]	[1, 1, 1, 1, 1, 1]	[0.6570877432823181, 0.4461768567562103, 0.6503395438194275, 0.7012876272201538, 0.4518812298774719, 0.3441733419895172]
We report results on the development test set, which is also the out-of-domain test set of the WMT06 workshop shared task (Koehn and Monz, 2006)	[21]	[1]	[0.5003381967544556]
We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters	[3, 18, 0]	[1, 1, 1]	[0.32939115166664124, 0.6771953701972961, 0.5550751090049744]
We then use a distributional thesaurus to perform ASR, which determines the prevalence with respect to x of each senses' Sx, following the approach of McCarthy et al (2004)	[188]	[1]	[0.5487556457519531]
We use Collins and Singer (1999) for our exact specification of Yarowsky	[80]	[1]	[0.36407241225242615]
We use the same method described in (Koehn and Monz, 2006) to perform the significance test	[52, 49]	[1, 1]	[0.5632055401802063, 0.7491572499275208]
We used common tools for phrase-based translation Moses (Koehn et al, 2007) decoder and tools, SRILM (Stolcke, 2002) and KenLM (Heafield, 2011) for language modelling and GIZA++ (Och and Ney, 2000) for word alignments	[12]	[1]	[0.5058684349060059]
Whereas Miller et al (2000) use a generative model to produce parse information as well as relation information, we hypothesize that a technique discriminatively trained to classify relations will achieve better performance	[0]	[1]	[0.34909310936927795]
While EM has worked quite well for a few tasks, notably machine translations (starting with the IBM models 1-5 (Brown et al, 1993), it has not had success in most others, such as part-of-speech tagging (Merialdo, 1991), named-entity recognition (Collinsand Singer, 1999) and context-free-grammar induction (numerous attempts, too many to mention)	[0, 16]	[1, 1]	[0.6896052956581116, 0.612534761428833]
Whilst a first sense heuristic based on a sense-tagged corpus such as SemCor is clearly useful, there is a case for obtaining a first, or predominant, sense from untagged corpus data so that a WSD system can be tuned to a given genre or domain (McCarthy et al., 2004) and also because there will be words that occur with insufficient frequency in the hand-tagged resources available	[15, 3, 154, 17, 10]	[1, 1, 1, 1, 1]	[0.7874593734741211, 0.6247914433479309, 0.6680564880371094, 0.39839184284210205, 0.6508377194404602]
With the help of the respective original authors, the language model implementations by Heafield (2011) and Pauls and Klein (2011) have been integrated with Joshua, dropping support for the slower and more difficult to compile SRILM toolkit (Stolcke, 2002)	[12]	[1]	[0.370623916387558]
Zhang and Clark (2008) built a perceptron-based joint segmenter and part-of-speech (POS) tagger for Chinese, and Toutanova and Cherry (2009) learned a joint model of lemmatization and POS tagging which outperformed a pipelined model. Adler and Elhadad (2006) presented an HMM-based approach for unsupervised joint morphological segmentation and tagging of Hebrew, and Goldberg and Tsarfaty (2008) developed a joint model of segmentation, tagging and parsing of Hebrew, based on lattice parsing	[0]	[1]	[0.5791124105453491]
n-gram language model scores implemented with the KenLM toolkit (Heafield, 2011), 3	[0]	[1]	[0.6301717162132263]
plates called lexical-target in the column below are introduced by Jiang et al (2008)	[38]	[1]	[0.3018132746219635]
(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages	[21]	[1]	[-1.9388710260391235]
(Henderson and Brill, 1999) and (Sagae and Lavie, 2006) propose methods for parse hybridization by recombining constituents	[64]	[1]	[-1.693237066268921]
(Henderson and Brill, 1999) improved their best parser's F-measure of 89.7 to 91.3, using their naive Bayes voting on the Penn TreeBank constituent structures (16% error reduction)	[19]	[1]	[-1.643194556236267]
(Henderson and Brill, 1999) perform parse selection by maximizing the expected precision of the selected parse with respect to the set of parses being combined	[100]	[1]	[-1.5643446445465088]
(Miller et al, 2000) have combined entity recognition, parsing, and relation extraction into a jointly-trained single statistical parsing model that achieves improved performance on all the subtasks. Part of the contribution of the current work is to suggest that joint decoding can be effective even when joint training is not possible because jointly-labeled data is unavailable	[104]	[1]	[-2.170137405395508]
A LCFRS (Vijay-Shanker et al, 1987) is a tuple G= (N, T, V, P, S ) where N is a finite set of non-terminals with a function dim: N? N that determines the fan-out of each A? N; b) T and V are disjoint finite sets of terminals and variables; c) S? N is the start symbol with dim (S)= 1; d) P is a finite set of rewriting rules A (? 1,..	[183]	[1]	[-2.0100197792053223]
A comparison of unlexicalised PCFG parsing (Kubler, 2005) trained and evaluated on the German NEGRA (Skut et al, 1997) and the Tu? Ba D/Z (Telljohann et al, 2004) tree banks using LoPar (Schmid, 2000) shows a difference in parsing results of about 16%, using the PARSEVAL metric (Black et al, 1991)	[38]	[1]	[-2.25944185256958]
A good candidate for multilingual topic analyses are polylingual topic models (Mimno et al, 2009), which learn topics for multiple languages, creating tuples of language specific distributions over monolingual vocabularies for each topic	[40]	[1]	[-1.0783941745758057]
A moderately larger vocabulary version (4215 tag-word pairs) of this parser achieves 89.8% F-measure on section 0, where the best current result on the testing set is 90.7% (Bod, 2003)	[91]	[1]	[-2.223250150680542]
A shared task to evaluate machine translation performance was organized as part of the NAACL/HLT 2006 Workshop on Statistical Machine Translation (Koehn and Monz, 2006)	[33]	[1]	[-1.913770079612732]
According to Skut et al (1997) tree banks have to meet the following requirements: 1	[74]	[1]	[-2.10746693611145]
After getting a set of basic clusters, we pass them to an existing statistical parser (Charniak, 2000) and rule-based tree normalizer to obtain a GLARF structure for each sentence in every article	[58]	[1]	[-2.184807062149048]
Although this model has been shown to successfully simulate single and multiple-word priming (McDonald and Brew 2004), it failed to predict processing costs in the Embra eye-tracking corpus (McDonald and Shillcock 2003). In this work we model semantic constraint using the representational framework put forward in Mitchell and Lapata (2008)	[19]	[1]	[-2.156221866607666]
And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors	[75]	[1]	[-1.3972691297531128]
Another difference between our model and the poly-lingual LDA model of (Mimno et al, 2009) is that we use maximum aposteriori (MAP) instead of Bayesian inference	[4]	[1]	[-2.2978620529174805]
Another popular task in SMT is domain adaptation (Foster et al, 2010)	[36]	[1]	[-1.6453649997711182]
As Mitchell and Lapata (2008) did, let us temporarily suspend discussion on what semantics populate our vectors for now	[6]	[1]	[-2.0550403594970703]
As all the features adopted in (Jiang et al, 2008) possess binary values, if a binary feature is repeated n times, then it should behave like a real-valued feature with its value to be n, at least in principle	[58]	[1]	[-2.117159366607666]
As an alternative to hard coded heuristics, Blaheta and Charniak (2000) proposed to recover the Penn functional tags automatically	[38]	[1]	[-2.3176839351654053]
As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training	[149]	[1]	[-2.2428815364837646]
As our final set of baselines, we extend two simple techniques proposed by (Mitchell and Lapata, 2008) that use element-wise addition and multiplication operators to perform composition	[26]	[1]	[-2.2678847312927246]
At the end one has a beam-width's number of best parses (Roark, 2001)	[361]	[1]	[-1.9409390687942505]
Besides the two model scores, we also adopt constituent count as an additional feature in spired by (Henderson and Brill 1999) and (Sagae and Lavie 2006)	[60]	[1]	[-2.2022745609283447]
Blaheta and Charniak (2000) presented the first method for assigning Penn functional tags to constituents identified by a parser. Pattern-matching approaches were used in (Johnson, 2002) and (Jijkoun, 2003) to recover non-local dependencies in phrase trees	[38]	[1]	[-2.2905445098876953]
CFTG are weakly equivalent to the simple macro grammars of Fischer (1968), which are a notational variant of the well-nested linear context-free rewriting systems (LCFRS) of Vijay-Shanker et al (1987) and the well-nested multiple context-free grammars (MCFG) of Seki et al (1991)	[83]	[1]	[-1.815029501914978]
CKK uses the Dubey and Keller (2003) parser, which is trained on the Negra corpus (Skut et al, 1997)	[44]	[1]	[-2.279576063156128]
Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model	[12]	[1]	[-2.1249289512634277]
DL-CoTrain, (Collins and Singer, 1999), learns capitalized proper name NEs from a syntactically analyzed corpus	[214]	[1]	[-2.226804733276367]
Das and Petrov (2011) achieved the current state-of-the-art for unsupervised tagging by exploiting high confidence alignments to copy tags from the source language to the target language	[147]	[1]	[-1.5007109642028809]
Data-Oriented Parsing (DOP)'s methodology is to calculate weighted derivations, but as noted in (Bod, 2003), it is the highest ranking parse, not derivation, that is desired	[78]	[1]	[-1.4276461601257324]
Each of these scores can be calculated from a provided syntactic parse tree, and to generate these we made use of the Charniak parser (Charniak, 2000), also trained on the Switch board tree bank	[101]	[1]	[-1.8751229047775269]
Earlier studies by Dubey and Keller (2003) and Dubey (2005) using the Negra treebank (Skut et al, 1997) reports that lexicalization of PCFGs decrease the parsing accuracy when parsing Negra's flat constituent structures	[156]	[1]	[-2.3624637126922607]
Finally, we note that simple weighting gives nearly a 2% F1 improvement, whereas Goldberg and Tsarfaty (2008) found that unweighted lattices were more effective for Hebrew	[146]	[1]	[-2.016381025314331]
Following (Goldberg and Tsarfaty, 2008) we deal with the ambiguous affixation patterns in Hebrew by encoding the input sentence as a segmentation lattice	[29]	[1]	[-2.145026683807373]
For CTB-5, we refer to the split by Duan et al (2007) as CTB-5d, and to the split by Jiang et al (2008) as CTB-5j	[4]	[1]	[-2.2586629390716553]
For Europarl data sets, we artificially make them comparable by considering the first half of English document and the second half of its aligned foreign language document (Mimno et al,2009)	[170]	[1]	[-1.3554171323776245]
For each article, we calculated the percentage of a) all word instances (tokens) and b) all unique words (types) not on these lists, resulting in three token OOV rate features and three type OOV rate features per article. The parse features are generated using the Charniak parser (Charniak, 2000) trained on the standard Wall Street Journal Treebank corpus	[56]	[1]	[-1.8959307670593262]
For efficiency and stability, we use the EM algorithm to find ?, rather than L-BFGS as in (Foster et al., 2010)	[2]	[1]	[-2.2326619625091553]
For example, Liang et al (2011) constructs a latent parse similar in structure to a dependency grammar, but representing a logical form	[49]	[1]	[-2.0769457817077637]
For example, Liang et al (2011) in their state-of-the-art statistical semantic parser within the domain of natural language queries to databases, explicitly devise quantifier scoping in the semantic model	[148]	[1]	[-2.113931894302368]
For example, Miller et al (2000) showed that performing parsing and information extraction in a joint model improves performance on both tasks	[5]	[1]	[-2.1694512367248535]
For example, in Demberg and Keller (2008), trials were run deriving surprisal from the Roark (2001) parser under two different conditions: fully lexicalized parsing, and fully unlexicalized parsing (to pre-terminal part-of-speech tags)	[345]	[1]	[-2.3243408203125]
For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)	[40]	[1]	[-2.216761827468872]
For our experiments, we use the NEGRA corpus (Skut et al, 1997)	[127]	[1]	[-2.235208034515381]
Foster et al (2010) combine the two, applying linear interpolation to combine the instance weighted out-of-domain model with an in-domain model	[43]	[1]	[-2.314347982406616]
Foster et al (2010) further perform this on extracted phrase pairs, not just sentences	[144]	[1]	[-1.698979377746582]
Furthermore, the extraction of grammars for training is done in a leave-one-out fashion (Zollmann and Simaan,2005) where rules are extracted for a parallel sentence pair only if the same rules are found in other sentences of the corpus as well.3-gram (news-commentary) and 5-gram (Europarl) language models are trained on the data described in Table 1, using the SRILM toolkit (Stolcke, 2002) and binarized for efficient querying using kenlm (Heafield, 2011)	[50]	[1]	[-1.9956071376800537]
GUSP represents meaning by a semantic tree, which is similar to DCS (Liang et al, 2011)	[47]	[1]	[-2.016925096511841]
German is considerably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA annotation has been conceived to be quite at (Skut et al, 1997)	[110]	[1]	[-2.254857063293457]
Given a novel sentence Stest E Ctest, combine the collection of hypotheses ti = fi(Stest) using the unweighted constituent voting scheme of Henderson and Brill (1999)	[30]	[1]	[-2.253002405166626]
Goldberg and Tsarfaty (2008) demonstrated the effectiveness of lattice parsing for jointly performing segmentation and parsing of Hebrew text	[188]	[1]	[-2.0843160152435303]
Henderson and Brill (1999) performs parse selection by maximizing the expected precision of selected parse with respect to the set of parses to be combined	[141]	[1]	[-2.135950803756714]
Henderson and Brill (1999) proposed two parser combination schemes, one that picks an entire tree from one of the parsers, and one that, like ours, builds a new tree from constituents from the initial trees	[87]	[1]	[-1.616889476776123]
Here we use the standard definition of LCFRS (Vijay-Shanker et al, 1987) and only fix our notation; for a more thorough discussion of this formal ism, we refer to the literature. Let G be an LCFRS	[159]	[1]	[-1.9677820205688477]
However, just as it has been noted that most non-projective structures appearing in practice are only 'slightly' non projective (Nivre and Nilsson, 2005), we characterise a sense in which the structures appearing in tree banks can be viewed as being only 'slightly' ill-nested	[49]	[1]	[-1.9011139869689941]
However, when we repeat the work of (Jiang et al, 2008), which reports to achieve the state-of-art performance in the data-sets that we adopt, it has been found that some features (e.g., C0) are unnoticeably trained several times in their model (which are implicitly generated from different feature templates used in the paper)	[35]	[1]	[-2.0867531299591064]
In (Liang et al, 2011) DCS trees are learned from QA pairs and database entries	[2]	[1]	[-1.6340222358703613]
In CoNLL-2005, full parsing trees are provided by two full parsers: the Collins parser (Collins, 1999) and the Charniak parser (Charniak, 2000)	[133]	[1]	[-1.7484833002090454]
In addition, we would also like to explore the semi-supervised techniques such as co-training and self-training (Collins and Singer, 1999)	[2]	[1]	[-2.1534581184387207]
In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997). Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node	[89]	[1]	[-2.125751256942749]
In fact, our approach can also be applied to other parsers, such as (Yamada and Matsumoto, 2003)'s parser, (McDonald et al., 2006)'s parser, and so on	[31]	[1]	[-1.9232028722763062]
In recent years research in Natural Language Processing (NLP) has been steadily moving towards multilingual processing: the availability of ever growing amounts of text in different languages, in fact, has been a major driving force behind research on multilingual approaches, from morphosyntactic (Das and Petrov, 2011) and syntactico semantic (Peirsman and Pado?, 2010) phenomena to high-end tasks like textual entailment (Mehdad et al., 2011) and sentiment analysis (Lu et al, 2011)	[10]	[1]	[-2.0511233806610107]
In the current paper we explore alternatives to reranking approaches, namely heuristic methods for finding the argmax, specifically incremental beam-search strategies related to the parsers of Roark (2001a) and Ratnaparkhi (1999)	[390]	[1]	[-1.9645884037017822]
In this section, we review relevant details of the Roark (2001) incremental top-down parser, as configured for use here	[401]	[1]	[-1.4763466119766235]
Inference was carried out using the language modeling library described by Heafield (2011)	[5]	[1]	[-2.1702921390533447]
Inspired by (Jiang et al, 2008), we set the real d Although Table 5 has shown that the proposed all the value of C0 to be 2.0, the value of C-1C0anC0C1 to be 3.0, and the values of all other features to be 1.0 for the character-based discriminative-plus model	[79]	[1]	[-2.2799770832061768]
Interestingly, Mitchell and Lapata (2008) came to the same result in a different setting	[32]	[1]	[-2.0889158248901367]
It is important to note that while CCG derivations themselves can be seen as trees as well, they do not always form regular tree languages (Vijay-Shanker et al, 1987)	[10]	[1]	[-1.103763461112976]
It is well-studied in NLP, and a wide variety of methods have been proposed to tackle it ,e.g. rule-based (Popescu et al, 2003), super vised (Zelle, 1995), unsupervised (Goldwasser et al., 2011), and response-based (Liang et al, 2011)	[32]	[1]	[-2.2948074340820312]
It is worthwhile to remark here that, being the IBLE algorithm fully unsupervised, improving the most frequent baseline is an excellent result, rarely achieved in the literature on unsupervised methods for WSD (McCarthy et al, 2004)	[25]	[1]	[-2.2083041667938232]
It should be noted that McDonald et al (2006) use a richer feature set that is incomparable to our features	[18]	[1]	[-1.7482246160507202]
It uses graph transformation to handle non-projective trees (Nivre and Nilsson, 2005)	[71]	[1]	[-1.2172409296035767]
Last, (Jiang et al, 2008) 5 adds repeated features implicitly based on (Ng and Low, 2004)	[4]	[1]	[-2.2507407665252686]
Miller et al (2000) propose an integrated statistical parsing technique that augments parse trees with semantic labels denoting entity and relation types	[51]	[1]	[-1.9559327363967896]
Mimno et al (2009) show that PLTM sufficiently aligns topics in parallel corpora	[25]	[1]	[-1.954371690750122]
Mitchell and Lapata (2008) observed that a simple multiplication function modelled compositionality better than addition	[175]	[1]	[-2.0300536155700684]
Mitchell and Lapata (2008) show that several additive and multiplicative models can be formulated under this framework, including the well known tensor products (Smolensky 1990) and circular convolution (Plate 1995)	[66]	[1]	[-1.4891071319580078]
Mitchell and Lapata (2008), henceforth M& amp; L, propose a general framework in which meaning representations for complex expressions are computed compositionally by combining the vector representations of the individual words of the complex expression	[13]	[1]	[-2.155090093612671]
More precisely, dependency arcs (or pairs of arcs) are first represented by a high dimensional feature vector f (i, j, l) Rk, where f is typically a binary feature vector over properties of the arc as well as the surrounding input (McDonald et al, 2005a; McDonald et al, 2006)	[41]	[1]	[-2.263159990310669]
More radical solutions than sense grouping that have been proposed are to restrict the task to determining predominant sense in a given domain (McCarthy et al, 2004), or to work directly with para phrases (McCarthy and Navigli, 2009)	[89]	[1]	[-1.7973037958145142]
Most recently, McDonald et al (2005) have implemented a dependency parser with good accuracy (it is almost as good at dependency parsing as Charniak (2000)) and very impressive speed (it is about ten times faster than Collins (1997) and four times faster than Charniak (2000))	[38]	[1]	[-2.2998178005218506]
My approach is closely related to work in statistical parsing known as Data-Oriented Parsing (DOP), an empirically highly successful approach with labeled recall and precision scores on the Penn Tree Bank that are among the best currently obtained (Bod, 2003)	[4]	[1]	[-2.198599338531494]
Note that both data sets have a relatively high ratio of in-domain to out-of-domain parallel training data (1:20 for DE? EN and 1:5 for HT? EN); Previous research has been performed with ratios of 1:100 (Foster et al 2010) or 1:400 (Axelrod et al 2011)	[52]	[1]	[-2.1876041889190674]
Note that the dependency figures of Dienes lag behind even the parsed results for Johnson's model; this may well be due to the fact that Dienes built his model as an extension of Collins (1999), which lags behind Charniak (2000) by about 1.3-1.5%. Manual investigation of errors on English gold standard data revealed two major issues that suggest further potential for improvement in performance without further increase in algorithmic complexity or training set size	[5]	[1]	[-2.098174810409546]
Of course, it is well-known that a supervised parser's f-score decreases if it is transferred to another domain: for example, the (non-binarized) WSJ-trained DOP model in Bod (2003) decreases from around 91% to 85.5% f score if tested on the Brown corpus	[125]	[1]	[-2.147341251373291]
One interesting system that does not belong to the above class is that of Miller et al (2000), who take the view that relation extraction is just a form of probabilistic parsing where parse trees are augmented to identify all relations	[17]	[1]	[-1.7964417934417725]
One possibly beneficial extension of our work suggested by (Miller et al, 2000) would be to add semantic tags describing relations between entities (slots), in which case the semantic constraints would not be structured strictly on the two levels used in the current approach, respectively frame and slot level	[29]	[1]	[-2.3157958984375]
Other linguistically inspired language models like Chelba and Jelinek (2000) and Roark (2001) have been applied to continuous speech recognition	[108]	[1]	[-1.456640362739563]
Our base line is a factored phrase based SMT system that uses the Moses toolkit (Koehn et al, 2007) for translation model training and decoding, GIZA++ (Ochand Ney, 2003) for word alignment, SRILM (Stolcke, 2002) an KenLM (Heafield, 2011) for language modelling and minimum error rate training (Och, 2003) to tune model feature weights	[273]	[1]	[-2.0503621101379395]
Our best performing model is more accurate than all these previous models except (Bod, 2003)	[13]	[1]	[-2.1177051067352295]
Our data source is the German NeGra tree bank (Skut et al, 1997)	[168]	[1]	[-1.9076426029205322]
Our main technical contributions are as follows: Additionally to perplexity optimization for linear interpolation, which was first applied by Foster et al (2010), we propose perplexity optimization for weighted counts (equation 3), and a modified implementation of linear interpolation	[62]	[1]	[-2.194100856781006]
Our technique for setting ? m is similar to that outlined in Foster et al (2010)	[13]	[1]	[-2.1291282176971436]
Recent methods for English NER focus on machine-learning algorithms such as DL-CoTrain, CoBoost [Collins and Singer 1999], HMM [Daniel M. Bikel 1997], maximum entropy model [Borthwick, et al 1999] and so on	[214]	[1]	[-2.136904001235962]
Recent work by Das and Petrov (2011 ) builds a dictionary for a particular language by transferring annotated data from a resource-rich language through the use of word alignments in parallel text	[21]	[1]	[-2.1971864700317383]
Recent work by Nivre and Nilsson introduces a technique where the projectivization transformation is encoded in the non-terminals of constituents during parsing (Nivre and Nilsson, 2005)	[9]	[1]	[-2.1142964363098145]
Research by (McCarthy et al, 2004) highlighted that the sense priors of a word in a corpus depend on the domain from which the corpus is drawn	[33]	[1]	[-1.8118088245391846]
Research efforts to increase search efficiency for phrase-based MT (Koehn et al, 2003) have explored several directions, ranging from generalizing the stack decoding algorithm (Ortiz et al, 2006) to additional early pruning techniques (Delaney et al, 2006), (Moore and Quirk, 2007) and more efficient language model (LM) querying (Heafield, 2011)	[12]	[1]	[-2.2189323902130127]
Rule-based methods (Miller et al, 2000) employ a number of linguistic rules to capture relation patterns	[44]	[1]	[-2.1452438831329346]
Second, the parse selection method of (Henderson and Brill, 1999) selects the parse with maximum expected precision; here, we present an efficient, linear-time algorithm for selecting the parse with maximum expected f-score within the Mini mum Bayes Risk (MBR) framework	[145]	[1]	[-2.0201809406280518]
Section 5 compares our approach too thiers in the literature, in particular that of (Miller et al., 2000)	[28]	[1]	[-2.0692451000213623]
Similar to the approach in (Miller et al, 2000) and (Kulick et al, 2004), our parser integrates both syntactic and semantic annotations into a single annotation as shown in Figure 2	[51]	[1]	[-2.122485876083374]
Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees	[42]	[1]	[-2.208803176879883]
Similarly, (Bod, 2003) changes the way frequencies fi are counted, with a similar effect	[53]	[1]	[-2.08143949508667]
Since the number of non-projective dependencies is much smaller than the number of projective dependencies (Nivre and Nilsson, 2005), it is not efficient to perform non-projective parsing for all cases	[39]	[1]	[-1.3813060522079468]
Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)	[54]	[1]	[-2.140126943588257]
System combination has benefited various NLP tasks in recent years, such as products-of-experts (e.g., (Smith and Eisner, 2005)) and ensemble based parsing (e.g., (Henderson and Brill, 1999))	[54]	[1]	[-2.2565853595733643]
Table 3: Corpus statistics for the second SIGHAN Bakeoff appears twice, which is generated from two different templates Cn (with n=0, generates C0) and [C0Cn] (used in (Jiang et al, 2008), with n=0, generates [C0C0])	[110]	[1]	[-2.2647030353546143]
The approach proposed by Guevara (2010) is really only an extension of the full additive model of Mitchell and Lapata (2008), the only difference being that adopting a supervised learning methodology ensures that the weight parameters in the function are estimated optimally by linear regression	[50]	[1]	[-2.3166050910949707]
The approach we take is similar to work on efficiently storing large phrase tables by Zens and Ney (2007) and language models by Heafield (2011) and Pauls and Klein (2011)? both language model implementations are now integrated with Joshua	[273]	[1]	[-2.0871737003326416]
