query	doc_id	label
Following Lin and Wu (2009), each word to be clustered is represented as a feature vector describing the distributional context of that word.	[54]	[1]
Following Nivre (2008), we define a transition system for dependency parsing as a quadruple S= (C, T, cs, Ct), where 1. C is a set of configurations, 2. T is a set of transitions, each of which is a (partial) function t : C → C, 3. cs is an initialization function, mapping a sentence x to a configuration c ∈ C, 4. Ct ⊆ C is a set of terminal configurations.	[99, 95, 84, 110, 88]	[1, 1, 1, 1, 1]
Following Shen et al (2008), we distinguish between fixed, floating, and ill-formed structures.	[114, 84, 86, 106, 164, 93, 112, 148]	[1, 1, 1, 1, 1, 1, 1, 1]
Following Turian et al (2010), we use Percy Liang's implementation of this algorithm for our comparison, and we test runs with 100, 320, and 1000 clusters.	[163, 162]	[1, 1]
Following models were applied: n-gram posteriors (Zens and Ney, 2006b), sentence length model, a 6-gram LM and single word lexicon models in both normal and inverse direction.	[43, 56, 0]	[1, 1, 1]
Following phrase-based methods in statistical machine translation (Koehn et al., 2003).	[0, 7, 21]	[1, 1, 1]
Following previous work (Kwiatkowski et al, 2010), we make use of a higher-order unification learning scheme that defines a space of CCG grammars consistent with the (sentence, logical form) training pairs.	[4, 0, 206, 19, 75]	[1, 1, 1, 1, 1]
Following previous work (e.g., Soon et al (2001) and Ponzetto and Strube (2006)), we generate training instances as follows: a positive instance is created for each anaphoric NP, NPj, and its closest antecedent, NPi; and a negative instance is created for NPj paired with each of the intervening NPs, NPi+1, NPi+2,..., NPj-1.	[51, 50]	[1, 1]
Following the works of Carletta (1996) and Artstein and Poesio (2008), there is an increasing consensus within the field that in order to properly gauge the reliability of an annotation effort, chance-corrected measures of inter-annotator agreement should be used.	[14]	[1]
For Chinese, we experimented on the Penn Chinese Treebank 4.0 (CTB4) (Palmer et al, 2004) and we used the rules in (Bikel, 2004) for conversion.	[345]	[1]
For SemEval 2007, all systems performed better than the random base line of 53.43%, but only 4 of 13 systems achieved an F1 score higher than the MFS baseline of 78.89% (Navigli et al, 2007). Table 2 lists the results of applying the generalized Web selector algorithm described in this paper in a straight-forward manner, such that all scale (T) are set to 1.	[60]	[1]
For a given set of questions, the task here is to rank candidate answers (Wang et al, 2007).	[184, 200, 101]	[1, 1, 1]
For an alignment model, most of these use the Aachen HMM approach (Vogel et al, 1996), the implementation of IBM Model 4 in GIZA++ (Och and Ney, 2000) or, more recently, the semi-supervised EMD algorithm (Fraser and Marcu, 2006).	[27, 91, 32, 3]	[1, 1, 1, 1]
For dependency parsing, McDonald and Pereira (2006) proposed a method which can incorporate some types of global features, and Riedel and Clarke (2006) studied a method using integer linear programming which can incorporate global linguistic constraints.	[76, 0]	[1, 1]
For detailed info. of the corpora and these scores, refer to (Emerson, 2005).	[98, 24]	[1, 1]
For dialogue initiative annotation, I am using Walker and Whittaker's utterance based allocation of control rules (Walker and Whittaker, 1990), which are widely used to identify dialogue initiative.	[27, 0, 54, 46]	[1, 1, 1, 1]
For each pair of entity mentions, we extract and compute various lexical and syntactic features, as employed in a state-of-the-art relation extraction system (Zhou et al., 2005).	[60, 192]	[1, 1]
For each pair of nodes (u, v) in the graph, we compute the semantic similarity score (using WordNet) between every pair of dependency relation (rel: a, b) in u and v as: s (u, v)= reli u ,relj v reli=relj WN (ai ,aj) WN (bi ,bj), where rel is a relation type (e.g., nsubj) and a, b are the two arguments present in the dependency relation (b does not exist for some relations). WN (wi ,wj) is defined as the WordNet similarity score between words wi and wj. The edge weights are then normalized across all edges in the 2There exists various semantic relatedness measures based on WordNet (Patwardhan and Pedersen, 2006).	[80]	[1]
For example transducer determinization (Mohri, 1997) uses a set of pairs of states and weights.	[97, 240, 213]	[1, 1, 1]
For example, (Izumi et al, 2003) reported error rates for English prepositions that were as high as 10% in a Japanese learner corpus.	[0]	[1]
For example, CCGbank (Hockenmaier and Steedman, 2007) contains 1241 distinct supertags (lexical categories) and the most ambiguous word has 126 supertags.	[354]	[1]
For example, Chklovski and Pantel (2004) loosely define ENABLEMENT as a relation that holds between two verbs V1 and V2 when the pair can be glossed as V1 is accomplished by V2 and gives two examples: assess: :review and accomplish: :complete.	[85, 87, 178]	[1, 1, 1]
For example, Dojchinova and Mihov (2004) mapped their initial tag set of 946 tags to just 40, which allowed them to achieve 95.5% accuracy using the transformation-based learning of Brill (1995), and 98.4% accuracy using manually crafted linguistic rules.	[217, 185, 180]	[1, 1, 1]
For example, Gao and Johnson (2008) proposed to induce a many-to-one mapping of state identifiers to PoS tags from one half of the corpus and evaluate on the second half, which is referred to as cross-validation accuracy.	[97]	[1]
For example, Ng et al (2003) acquired sense examples using English-Chinese parallel corpora, which were manually or automatically aligned at sentence level and then word-aligned using software.	[38, 147, 40]	[1, 1, 1]
For example, Petrov et al (2012) build supervised POS taggers for 22 languages using the TNT tagger (Brants, 2000), with an average accuracy of 95.2%.	[157]	[1]
For example, Rapp (1999) filtered out bilingual term pairs with low monolingual frequencies (those below 100 times), while Fung and Yee (1998) restricted candidate bilingual term pairs to be pairs of the most frequent 118 unknown words.	[40]	[1]
For example, Zettlemoyer and Collins (2007) used a predicate from (f, c) to signify that flight f starts from city c.	[141, 82]	[1, 1]
For example, an SVM-based NE-chunker run sat a rate of only 85byte/sec, while previous rule based system can process several kilobytes per second (Isozaki and Kazawa, 2002).	[13, 38, 117]	[1, 1, 1]
For example, the features introduced by Chiang et al (2008) and Chiang et al (2009) for an SCFG model for Chinese/English translation are of two types: The first type explicitly counters overestimates of rule counts, or rules with bad overlap points, bad rewrites, or with undesired insertions of target-side terminals.	[87]	[1]
For examples of work in producing abstract-like summaries, see Radev and McKeown (1998), which combines work in information extraction and natural language processing.	[0]	[1]
For further details see e.g. (Tillmann and Ney, 2003).	[290, 61, 304, 76]	[1, 1, 1, 1]
For instance, (Cohn and Lapata, 2007) explore the use of triangulation for machine translation, where multiple translation models are learned using multilingual parallel corpora.	[0, 12]	[1, 1]
For instance, (Kay, 1996) proposes to reduce the number of constituents built during realisation by only considering for combination constituents with non overlapping semantics and compatible indices.	[111]	[1]
For instance, Gildea and Hockenmaier (2003) reported that a CCG-based parser gives improved results over the Collins parser.	[8, 91]	[1, 1]
For instance, Lin (1998) used dependency relation as word features to compute word similarities from large corpora, and compared the thesaurus created in such a way with WordNet and Roget classes.	[106, 5, 32]	[1, 1, 1]
For instance, Teufel and Moens (2002) summarize scientific articles by selecting rhetorical elements that are commonly present in scientific abstracts.	[314, 0, 21, 144]	[1, 1, 1, 1]
For instance, good results are obtained from large corpora several million words for which the accuracy of the proposed translation is between 76% (Fung, 1998) and 89% (Rapp, 1999) for the first 20 candidates.	[149, 124, 0]	[1, 1, 1]
For instance, on unsupervised part-of speech tagging, EM requires over 100 iterations to reach its peak performance on the Wall-Street Journal (Johnson, 2007).	[157]	[1]
For language modeling, we use RandLM (Talbot and Osborne, 2007).	[69, 0]	[1, 1]
For more information on the terminology issue, refer to the introduction of (Artstein and Poesio, 2008).	[385]	[1]
For reasons of speed, Yamada and Knight (2002) limited training to sentences of length 30, and were able to use only one fifth of the available Chinese-English parallel corpus.	[188, 120]	[1, 1]
For selecting the best skeleton, two common methods are choosing the hypothesis with the Minimum Bayes Risk with translation error rate (TER) (Snover et al, 2006) (i.e., the hypothesis with the minimum TER score when it is used as the reference against the other hypotheses) (Sim et al, 2007) or choosing the best hypotheses from each system and using each of those as a skeleton in multiple confusion networks (Rosti et al, 2007b).	[25, 105, 177, 116, 115, 38]	[1, 1, 1, 1, 1, 1]
For the Brown algorithm, we are contrasting cluster count choices of 320 and 1000, based on reports of other successful applications [Turian et al, 2010], with clustering models trained on monolingual data from the Europarl corpus and the News Commentary corpus.	[59, 163]	[1, 1]
For the discourse structure analysis, we suggest a statistical model with discourse segment boundaries (DSBs) similar to the idea of gaps suggested for a statistical parsing (Collins (1996)).	[0]	[1]
For the experimental evaluations we use the Bidirectional Tagger with Guided Learning presented in Shen et al (2007).	[0]	[1]
For the predicate identification, we used the features suggested by Johansson and Nugues (2008).	[79, 88, 66, 75]	[1, 1, 1, 1]
For the second kind, Niessen and Ney (2004) used morpho-syntactic information for translation between language pairs with scarce resources.	[0, 244, 55, 33, 116]	[1, 1, 1, 1, 1]
For the task of classifying the polarity of a given expression, there has been fairly extensive work on suitable classification features (Wilson et al, 2009).	[515]	[1]
For the training of the Malt parser model that we use in the stacking experiments, we use learner and parser settings identical to the ones optimized for German in the CoNLL-X shared task (Nivre et al, 2006).	[5]	[1]
For these experiments we use the JACCARD (1) measure and the TTEST (2) weight, as Curran and Moens (2002a) found them to have the best performance in their comparison of many distance measures.	[78, 133]	[1, 1]
For these features we replace the opinion words with their positive or negative polarity equivalents (Lin et al, 2006).	[30, 33]	[1, 1]
For this problem, we can apply a boosting technique presented in (Kudo and Matsumoto, 2004).	[32, 50]	[1, 1]
For this purpose, existing work on coreference resolution (Lee et al, 2011) may prove to be useful.	[6, 0]	[1, 1]
For this we adopt the approach of Blunsom et al (2009b), who present a method for maintaining table counts without needing to record the table assignments for each translation decision.	[1]	[1]
For translation experiments, we used cdec (Dyer et al, 2010), a fast implementation of hierarchical phrase-based translation models (Chiang, 2005), which represents a state-of-the-art translation system.	[6, 0]	[1, 1]
For works taking no use of source document, Lapata (2003) proposed a probabilistic model which learns constraints on sentence ordering from a corpus of texts.	[26, 3, 211, 40, 0]	[1, 1, 1, 1, 1]
Fortunately, exploiting the recursive nature of the cells, we can compute values for the inside and outside components of each cell using dynamic programming in O (n4) time (Zhang and Gildea, 2005).	[65, 56, 71]	[1, 1, 1]
Foster and Kuhn (2007) interpolated the in and general-domain phrase tables together, assigning either linear or log-linear weights to the entries in the tables before combining overlapping entries; this is now standard practice.	[89]	[1]
From early in the field, it was pointed out that a purely extractive approach is not good enough to generate headlines from the body text (Banko et al, 2000).	[102]	[1]
From machine learning perspective, both proposed methods can be viewed as certain form of transductive learning applied to the SMT task (Ueffing et al, 2007).	[0]	[1]
Fully unsupervised Open IE systems are mainly based on clustering of entity pair contexts to produce clusters of entity pairs that share the same relations, as introduced by Hasegawa et al (Hasegawa et al, 2004).	[49]	[1]
Fung and Cheung (2004) approach the problem by using a cosine similarity measure to match foreign and English documents.	[15, 77]	[1, 1]
Fung and Cheung (2004a) describe corpora ranging from noisy parallel, to comparable, and finally to very non-parallel.	[33, 153, 24, 38, 0, 16, 18]	[1, 1, 1, 1, 1, 1, 1]
Fung and Yee (1998), for example, proposed to represent the contexts of a word or phrase with a real-valued vector (e.g., a TF-IDF vector), in which one element corresponds to one word in the contexts.	[46]	[1]
Further details of the noisy channel model can be found in Johnson and Charniak (2004).	[0, 152, 28, 142]	[1, 1, 1, 1]
Furthermore, we plan to include the Level 1 translations into the candidate answer generation module in order to do query expansion in the style of Riezler et al (2007).	[98]	[1]
Gamon et al (2008) and Gamon (2010) use a combination of classification and language modeling.	[0, 44, 51]	[1, 1, 1]
Ganchev et al (2009)'s baseline is similar to the first iteration of their discriminative model and hence performs better than ours.	[150, 91]	[1, 1]
Generative Lexicon (Pustejovsky, 1991), for example have been proposed to facilitate computationally precise description of natural language syntax and semantics.	[0]	[1]
Generative models are also used in unsupervised coreference (Haghighi and Klein, 2010).	[12, 13]	[1, 1]
Genre adaptation is one of the major challenges in statistical machine translation since translation models suffer from data sparseness (Koehn and Schroeder, 2007).	[0]	[1]
Given that the latest literature on POS tagging using Penn Treebank reports an accuracy of around 97% with in-domain training data (van Halteren et al, 2001), we achieve a very reasonable performance, considering these errors.	[314]	[1]
Given the endless amount of data we have at our disposal, many efforts have focused on mining knowledge from structured or unstructured text, including ground facts (Etzioni et al, 2005), semantic lexicons (Thelen and Riloff, 2002), encyclopedic knowledge (Suchanek et al, 2007), and concept lists (Katz et al, 2003).	[8]	[1]
Goldberg et al (2008) use linguistic considerations for choosing a good starting point for the EM algorithm.	[0]	[1]
Goldwater et al (2006) introduced two nonparametric Bayesian models of word segmentation, which are discussed in more detail in (Goldwater et al, 2009).	[74]	[1]
Graehl and Knight (2004) proposed the use of target tree-to-source-string transducers (xRs) to model translation.	[113, 4, 115]	[1, 1, 1]
Graph-based methods have been successfully applied to evaluate word similarity using available ontologies, where the underlying graph included word senses and semantic relationships between them (Hughes and Ramage, 2007).	[2]	[1]
Green and Manning (2010) obtain the opposite result in their Arabic parsing experiments, with the lattice parser underperforming the pipeline system by over 3 points (76.01 F1 vs 79.17 F1).	[208]	[1]
Haghighi and Klein (2006) showed that adding a small set of prototypes to the unlabeled data can improve tagging accuracy significantly.	[26, 33]	[1, 1]
Hale (2001) showed that surprisal calculated from a probabilistic Earley parser correctly predicts well 356 known processing phenomena that were believed to emerge from structural ambiguities (e.g., garden paths) and Levy (2008) further demonstrated the relevance of surprisal to human sentence processing difficulty on a range of syntactic processing difficulty phenomena.	[4]	[1]
Hasegawa et al (2004)'s method is to use a hierarchical clustering method to cluster pairs of named entities according to the similarity of context words intervening between the named entities.	[4, 190, 71, 82, 72]	[1, 1, 1, 1, 1]
He identified topic boundaries where the LCP score was low (Kozima, 1993).	[59]	[1]
Here we use the identical training/validation/evaluation splits and experimental set-up as Zhang and Nivre (2011).	[75]	[1]
Hierarchical Phrase-based Machine Translation, proposed by Chiang (Chiang, 2007), uses a general non-terminal label X but does not use linguistic information from the source or the target language.	[0]	[1]
Hindle (1990) uses a mutual-information based metric derived from the distribution of subject, verb and object in a large corpus to classify nouns.	[1, 61, 98, 118, 63, 62, 34]	[1, 1, 1, 1, 1, 1, 1]
Hockenmaier and Steedman (2002) describe a generative model of normal-form derivations.	[31, 22, 0]	[1, 1, 1]
However, Zhang et al (2008b) and Sunet al (2009) demonstrate that the additional expressivity gained from non-contiguous rules greatly improves the translation quality.	[30]	[1]
However, corpus size is no longer a limiting factor: whereas up to now people have typically worked with corpora of around one million words, it has become feasible to build much larger document collections; for example, Banko and Brill (2001) report on experiments with a one billion word corpus.	[35]	[1]
However, even the sparse-representation version of w tends to be very large: (Isozaki and Kazawa, 2002) report that some of their second degree expanded NER models were more than 80 times slower to load than the original models (and 224 times faster to classify). This approach obviously does not scale well, both to tasks with more features and to larger degree kernels. PKE Heuristic Kernel Expansion, was introduced by (Kudo and Matsumoto, 2003).	[266, 267, 182, 129, 208]	[1, 1, 1, 1, 1]
However, previous work in machine translation leads us to believe that transferring the correlations between syntax and semantics across languages would be problematic due to argument structure divergences (Dorr, 1994).	[247]	[1]
However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;	[10]	[1]
However, we attempted to run an experiment as similar as possible in setup to Koehn and Knight (2002), using English Gigaword and German Europarl.	[97]	[1]
However, we can understand the improvement by comparing against scores obtained using the cosine-based lexical similarity metric which is typical of the majority of previous methods for mining non-parallel corpora, including that of Fung and Cheung (2004) [9].	[16, 118]	[1, 1]
ICTCLAS is developed by Chinese Academy of Science, the precision of which is 97.58% on tagging general words (Huaping Zhang et al, 2003).	[73, 0]	[1, 1]
If it is extended to labeled parsing (a straightforward extension), our formulation fully subsumes that of Riedel and Clarke (2006), since it allows using the same hard constraints and features while keeping the ILP polynomial in size.	[76]	[1]
If we follow Banko and Moore (2004) and construct a full (no OOV) morphological lexicon from the tagged version of the test corpus, we obtain 96.95% precision where theirs was 96.59%.	[110, 105, 30]	[1, 1, 1]
ImCor dataset by associating images from the Corel database with text from the SemCor corpus (Miller et al, 1993).	[3]	[1]
Implementations of GIS typically use a correction feature, but following Curran and Clark (2003) we do not use such a feature, which simplifies the algorithm.	[105, 12, 1, 35, 69]	[1, 1, 1, 1, 1]
Implicit grammars Goodman (1996, 2003 ) defined a transformation for some versions of DOP to an equivalent PCFG-based model, with the number of rules extracted from each parse tree linear in the size of the trees.	[20, 19]	[1, 1]
In (Knight,1999) it was proved that the Exact Decoding problem is NP-Hard when the language model is a bigram model.	[0]	[1]
In 2005, Pang and Lee extended their earlier work in (Pang and Lee, 2004) to determine a reviewer's evaluation with respect to multi scales (Pang and Lee, 2005).	[1, 69]	[1, 1]
In Baroni and Zamparelli (2010), the alm model performed far better than add and mult in approximating the correct vectors for unseen ANs, while on this (in a sense, more meta linguistic) task add and mult work better, while alm is successful only in the more sophisticated measure of neighbor density.	[28, 114, 117]	[1, 1, 1]
In COGEX (Moldovan et al, 2003), a recent QA system, authors used automated reasoning for QA and showed that it is feasible, effective and scalable.	[11]	[1]
In Hulth (2003a) an evaluation of three different methods to extract candidate terms from documents is presented.	[143]	[1]
In Velikovich et al (2010), the parameters were tuned on a held out dataset.	[46]	[1]
In a different work, Riloff et al (2003) use manually derived pattern templates to extract subjective nouns by bootstrapping.	[0, 3, 18]	[1, 1, 1]
In a second experiment, we applied the feature discovery procedure to the English corpus from CoNLL 2008 (Surdeanu et al, 2008), a dependency corpus converted from the Penn Tree bank and the Brown corpus.	[109, 90]	[1, 1]
In addition, the work of Kahane et al (1998) provides a polynomial parsing algorithm for a constrained class of non projective structures.	[0]	[1]
In addition, to allow for the possibility of valid lexical differences between the translation and the references, we follow Kauchak and Barzilay (2006) and Owczarzak et al (2006) in adding a number of paraphrases in the process of evaluation to raise the number of matches between the translation and the reference, leading to a higher score.	[20]	[1]
In addition, we exploit syntactic constructions shown to be useful by other studies - lists and conjunctions (Roark and Charniak, 1998), and adjacent words (Riloff and Shepherd, 1997).	[31, 76]	[1, 1]
In all cases, the final log-linear models were optimized on the dev set using lattice-based Minimum Error Rate Training (Macherey et al, 2008).	[0, 1]	[1, 1]
In all our models, to simplify we assume that the sentence change information is known (as is common with this corpus (Shriberg et al, 2004)).	[68]	[1]
In baseline experiments we used a phrase dependent lexicalized reordering model, as proposed in Tillmann (2004).	[94, 48]	[1, 1]
In concept acquisition, pattern-based methods were shown to outperform LSA by a large margin (Widdows and Dorow, 2002).	[0]	[1]
In contrast to Gamon (2010) and Han et al (2010) that use annotated data for training, the system is trained on native data, but the native data are transformed to be more like L1 data through artificial article errors that mimic the error rates and error patterns of non-native writers.	[35, 170]	[1, 1]
In contrast, (Barbosa and Feng, 2010) propose a two-step approach to classify the sentiments of tweets using SVM classifiers with abstract features.	[1, 13, 152, 83]	[1, 1, 1, 1]
In cross-entropy difference selection, a sentence's score is the in-domain cross-entropy minus the background cross-entropy (Moore and Lewis, 2010).This technique has been used to supplement European parliamentary text (48M words) with newswire data (3.4B words) (Moore and Lewis, 2010).	[23]	[1]
In fact, the Stanford coreference resolver (Lee et al 2011), which won the CoNLL-2011 shared task on coreference resolution, adopts the once-popular rule-based approach, resolving pronouns simply with rules that encode the aforementioned traditional linguistic constraints on coreference, such as the Binding constraints and gender and number agreement. The infrequency of occurrences of difficult pronouns in these standard evaluation corpora by no means undermines their significance, however.	[6, 0]	[1, 1]
In order to generalize the path feature (see Table 1 in Section 3) which is probably the most salient (while being the most data sparse) feature for SRL, previous work has extracted features from other syntactic representations, such as CCG derivations (Gildea and Hockenmaier, 2003) and dependency trees (Hacioglu, 2004) or integrated features from different parsers (Pradhan et al, 2005b).	[63]	[1]
In order to produce the gold standard annotations in GerManC-GS we used the GATE platform, which facilitates automatic as well as manual annotation (Cunningham et al 2002).	[227]	[1]
In order to reduce the source vocabulary size for the German-English translation, the source side was preprocessed by splitting German compound words with the frequency-based method described in (Koehn and Knight, 2003).	[79, 111]	[1, 1]
In order to test the argument above, and as an attempt to improve the results from the previous experiment, POS-tags were induced using Biemann's unsupervised POS-tagger (Biemann, 2006).	[35]	[1]
In our corpus study (Poesio and Vieira, 1998) we found that our subjects did better at ideutifying discourse-new descriptions all together.	[335]	[1]
In our earlier work, we (Schone and Jurafsky (2000)) generated a list of N candidate suffixes and used this list to identify word pairs which share the same stem but conclude with distinct candidate suffixes.	[40]	[1]
In our experiments we use the clusters obtained in (Koo et al, 2008), but were unable to match the accuracy reported there, perhaps due to additional features used in their implementation not described in the paper.	[45, 32, 124]	[1, 1, 1]
In our experiments, we used the same settings as (Kudo and Matsumoto, 2002).	[80, 87, 97]	[1, 1, 1]
In our implementation we approach these tasks in a two-step approach as proposed in (Gamon et al, 2008).	[24]	[1]
In our model, we adopted the subtree kernel method for the shortest path dependency kernel (Bunescu and Mooney, 2005).	[0]	[1]
In our opinion, the non-contiguous phrasal rules themselves may not play a trivial role, as reported in Zhang et al (2008a).	[20]	[1]
In our string-to-tree model, for efficient decoding with integrated n-gram LM, we follow (Zhang et al, 2006) and inversely binarize all translation rules into Chomsky Normal Forms that contain at most two variables and can be incrementally scored by LM.	[40]	[1]
In particular, instead of back-off, smoothing techniques could be investigated to reduce the impact of zero probability problems (Chen and Goodman, 1996).	[0]	[1]
In particular, our proposed model outperforms the generative alignment model of Liang et al (2009), indicating that the extra linguistic information and MR grammatical structure used by Lu et al (2008)'s generative language model make our overall model more effective than a simple Markov + bag-of-words model for language generation.	[0]	[1]
In particular, the first alignment model we will present has already been described in (Melamed, 2000).	[122, 59]	[1, 1]
In particular, we used the method of Collins et al (1999) to simplify part-of-speech tags since the rich tags used by Czech would have led to a large but rarely seen set of POS features.	[70]	[1]
In recent years, Akkaya et al (2009) report a successful empirical result where WSD helps improving sentiment analysis, while Wiebe and Mihalcea (2006) study the distinction between objectivity and subjectivity in each different sense of a word, and their empirical effects in the context of sentiment analysis.	[16, 19]	[1, 1]
In recent years, NomBank (Meyers et al,2004a) has provided a set of about 200,000 manually annotated instances of nominalizations with arguments, giving rise to supervised machine learned approaches such as (Pradhan et al, 2004) and (Liu and Ng, 2007), which perform fairly wellin the overall task of classifying deverbal arguments.	[76]	[1]
In the CoNLL-2000 shared task, we achieved the accuracy of 93.48 using IOB2-F representation (Kudo and Matsumoto, 2000b).	[142, 130, 139]	[1, 1, 1]
In the OntoNotes project (Hovy et al., 2006), annotators use small-scale corpus analysis to create sense inventories derived by grouping together WordNet senses, with the procedure restricted to maintain 90% inter-annotator agreement.	[26]	[1]
In the context of automated preposition and determiner error correction in L2 English, De Felice and Pulman (2008) noted that the process is often disrupted by misspellings.	[0, 1, 58]	[1, 1, 1]
In the current BioNLP 11 Shared Task1 (Kim et al, 2011), we demonstrate its generalizability to different event extraction tasks by applying what is, to a large extent, the same system to every single task and subtask.	[3, 0]	[1, 1]
In the discriminative reranking method (Collins and Koo, 2005), first, a set of candidates is generated using a base model (GEN).	[75, 396, 0]	[1, 1, 1]
In the end I decided to require the students to learn python because I wanted to use NLTK, the Natural Language Toolkit (Loper and Bird, 2002).	[0, 18]	[1, 1]
In the graph-based algorithm (Krahmer et al, 2003), which we refer to as Graph, information about domain objects is represented as a labelled directed graph, and REG is modeled as a graph-search problem.	[300, 11, 320, 22]	[1, 1, 1, 1]
In the system by Vieira and Poesio (2000), for example, WordNet is consulted to obtain the synonymy, hypernymy and meronymy relations for resolving the definite anaphora.	[405]	[1]
In these experiments we have used a variant of Dice, proposed by Curran and Moens (2002).	[140]	[1]
In this bakeoff, our basic model is based on the framework described in the work of Ratnaparkhi (1996) which was applied for English POS tagging.	[14, 86]	[1, 1]
In this paper we fill a gap in the CCG literature by developing a shift reduce parser for CCG. Shift-reduce parsers have become popular for dependency parsing, building on the initial work of Yamada and Matsumoto (2003) and Nivre and Scholz (2004).	[15, 13]	[1, 1]
In this paper, we adopt the B3all variation proposed by Stoyanov et al (2009), which retains all twin less markables.	[106]	[1]
In this paper, we describe 1) a new dependency conversion (Section 3) of the Penn Treebank (Marcus, et al, 1993) along with the associated dependency label scheme, which is based upon the Stanford parser's popular scheme (de Marneffe and Manning, 2008), and a fast, accurate dependency parser with non-projectivity support (Section 4) and additional integrated semantic annotation modules for automatic preposition sense disambiguation and noun compound interpretation (Section 5).	[12, 25]	[1, 1]
In this paper, we extend an existing approach to lexical classification (Korhonen et al, 2003) and apply it (without any domain specific tuning) to the domain of biomedicine.	[145]	[1]
In this paper, we focus on phrase structure parsing with function labelling as a post-processing step. Integer linear programs have already been successfully used in related fields including semantic role labelling (Punyakanok et al, 2004), relation and entity classification (Roth and Yih, 2004), sentence compression (Clarke and Lapata, 2008) and dependency parsing (Martins et al, 2009).	[151, 0]	[1, 1]
In this paper, we incorporate the MERS model into a state of-the-art linguistically syntax-based SMT model, the tree-to-string alignment template (TAT) model (Liu et al, 2006).	[5, 22, 1, 24, 126, 28]	[1, 1, 1, 1, 1, 1]
In this paper, we obtain syntactic clusters from the Berkeley parser (Petrov et al., 2006).	[121]	[1]
In this section, we make a comparison of several different TAG parsing algorithms - the CYK based algorithm described at (Vijay-Shanker and Joshi, 1985), Earley-based algorithms with (Alonso et al, 1999) and without (Schabes, 1994) the valid prefix property (VPP), and Nederhof's algorithm (Nederhof, 1999) - on the XTAG English grammar (release 2.24.2001), by using our system and the ideas we have explained.	[89]	[1]
In this section, we report experiments conducted with Canadian Hansards data from the 2003 HLT NAACL word-alignment workshop (Mihalcea and Pedersen, 2003).	[98]	[1]
In this work, we focus on Twitter because the labeled corpus by Gimpel et al (2011) allows us to quantitatively evaluate our approach.	[5]	[1]
Incremental refers to the results reported in Seginer (2007).	[23, 0]	[1, 1]
Inspired by Lin (1999), we examine the strength of association between the verb and noun constituents of the target combination and its variants, as an indirect cue to their idiomaticity.	[69]	[1]
Inverted semrel structure from a definition of motorist Researchers who produced spreading activation networks from MRDs, including Veronis and Ide (1990) and Kozima and Furugori (1993), typically only implemented forward links (from headwords to their definition words) in those networks.	[0]	[1]
It also provides a mapping from the FrameNet deep semantic roles to general thematic roles (list defined in (Moldovan et al 2004)), and use cases for VerbNet.	[12, 1, 9, 153]	[1, 1, 1, 1]
It has often been proposed that children might make use of information about the contextual distribution of usage of words to induce the parts-of-speech of their native language (e.g. Maratsos and Chalkley, 1980), and work by, e.g., Redington, Chater and Finch (1998) and Clark (2000), showed that parts-of-speech can indeed be induced by clustering together words that are used in similar contexts in a corpus.	[0]	[1]
It has shown promise in improving the performance of many tasks such as name tagging (Miller et al, 2004), semantic class extraction (Lin et al, 2003), chunking (Ando and Zhang, 2005), coreference resolution (Bean and Riloff, 2004) and text classification (Blum and Mitchell, 1998).	[0]	[1]
It is a slight variation of the proof given by Rush et al (2010).	[122, 110]	[1, 1]
It is based on the transition-based dependency parsing paradigm (Nivre, 2008).	[110, 164]	[1, 1]
It is interesting to compare our approach with techniques for well-nested dependency trees (Kuhlmann and Nivre, 2006).	[36, 66, 68, 67]	[1, 1, 1, 1]
It is known that PMI gives undue importance to low frequency events (Dunning, 1993), therefore the evaluation considers only pairs of genes that occur at least 5 times in the whole corpus.	[143]	[1]
It is possible to prove that, provided the training set (xi ,zi) is separable with margin > 0, the algorithm is assured to converge after a finite number of iterations to a model with zero training errors (Collins and Roark, 2004).	[53, 52, 57]	[1, 1, 1]
It might be used to rapidly compute approximate outside-probability estimates to prioritize best-first search (e.g., Caraballo and Charniak, 1998).	[192]	[1]
It outperforms most of the systems participating in the task (Pradhan et al., 2007).	[131]	[1]
Its original PoS tag set is very coarse and the PoS and the word stem information is not very reliable. We therefore decided to retag the tree bank automatically using the Memory-Based Tagger (MBT) (Daelemans et al, 1996) which uses a very fine-grained tag set.	[0]	[1]
Jing and McKeown (2000) manually analyzed 30 human-written summaries, and find that 19% of sentences can not be explained by cut-and-paste operations from the source text.	[44, 1, 64, 9, 46, 63, 16, 108, 17]	[1, 1, 1, 1, 1, 1, 1, 1, 1]
KAON Text-To-Onto (Maedche and Staab, 2004) applies text mining algorithms for English and German texts to semi-automatically create an ontology, which includes algorithms for term extraction, for concept association extraction and for ontology pruning. Pattern-based approaches to extract hy ponym/hypernym relationships range from hand-crafted lexico-syntactic patterns (Hearst, 1992) to the automatic discovery of such patterns by e.g. a minimal edit distance algorithm (Pantel et al, 2004).	[31]	[1]
Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.	[39, 44, 2, 52, 78, 0]	[1, 1, 1, 1, 1, 1]
